ID,Country or Subregion,Serotype,Year,In / Out of Subregions,EW,(C/TC) x100 (e),(SD/D) x100 (e),CFR (f),Confirmed,Deaths,Epidemiological Week (a),Incidence Rate (c),Population X 1000,Severe Dengue (d),Total of Dengue Cases (b)
4,Brazil,"DEN 1,2,3,4",2015,Out,46,29.551254562,0.098725902,0.054,465153,853,46,772.90,203657,1554,1574055
4,Brazil,"DEN 1,2,3,4",2015,Out,51,29.600448592,0.095216537,0.052,487763,863,51,809.12,203657,1569,1647823
4,Brazil,"DEN 1,2,3,4",2015,Out,28,24.843526140,0.100110176,0.055,360331,796,28,712.18,203657,1452,1450402
4,Brazil,"DEN 1,2,3,4",2015,Out,33,27.545191114,0.099957257,0.055,409221,817,33,729.48,203657,1485,1485635
4,Brazil,"DEN 1,2,3,4",2015,Out,15,0.582091158,0.102376170,0.058,5248,524,15,442.69,203657,923,901577
4,Brazil,"DEN 1,2,3,4",2015,Out,20,0.409857510,0.099730953,0.055,5248,710,20,628.73,203657,1277,1280445
4,Brazil,"DEN 1,2,3,4",2015,Out,22,0.388266193,0.099064107,0.055,5248,737,22,663.69,203657,1339,1351650
4,Brazil,"DEN 1,2,3,4",2015,Out,27,25.003348065,0.099990910,0.055,360331,789,27,707.63,203657,1441,1441131
4,Brazil,"DEN 1,2,3,4",2015,Out,32,27.651001723,0.100070948,0.055,409221,814,32,726.69,203657,1481,1479950
4,Brazil,"DEN 1,2,3,4",2015,Out,34,27.452870630,0.099890583,0.055,409221,820,34,731.93,203657,1489,1490631
4,Brazil,"DEN 1,2,3,4",2015,Out,1,,0.114025086,0.061,,7,1,5.60,203657,13,11401
4,Brazil,"DEN 1,2,3,4",2015,Out,3,10.526104659,0.160458912,0.100,5248,50,3,24.48,203657,80,49857
4,Brazil,"DEN 1,2,3,4",2015,Out,8,2.019805486,0.124313486,0.076,5248,197,8,127.58,203657,323,259827
4,Brazil,"DEN 1,2,3,4",2015,Out,13,0.744153334,0.103653980,0.061,5248,427,13,346.28,203657,731,705231
4,Brazil,"DEN 1,2,3,4",2018,Out,1,30.706378492,0.065893516,0.053,2330,4,1,3.60,210868,5,7588
4,Brazil,"DEN 1,2,3,4",2018,Out,6,32.644276490,0.065068322,0.040,19566,24,6,28.42,210868,39,59937
4,Brazil,"DEN 1,2,3,4",2018,Out,8,33.487503764,0.067449563,0.039,27803,32,8,39.37,210868,56,83025
4,Brazil,"DEN 1,2,3,4",2018,Out,13,36.753037966,0.071596405,0.036,56467,56,13,72.86,210868,110,153639
4,Brazil,"DEN 1,2,3,4",2018,Out,15,38.272384018,0.071519473,0.038,72778,72,15,90.18,210868,136,190158
4,Brazil,"DEN 1,2,3,4",2018,Out,20,40.627015965,0.071184405,0.037,109580,99,20,127.91,210868,192,269722
4,Brazil,"DEN 1,2,3,4",2018,Out,30,40.706111588,0.077358189,0.040,139970,136,30,163.07,210868,266,343855
4,Brazil,"DEN 1,2,3,4",2018,Out,35,40.310670488,0.077039287,0.039,147556,142,35,173.59,210868,282,366047
4,Brazil,"DEN 1,2,3,4",2018,Out,37,40.109536945,0.076595517,0.039,149765,145,37,177.07,210868,286,373390
4,Brazil,"DEN 1,2,3,4",2018,Out,42,39.503243838,0.074108735,0.037,156182,147,42,187.49,210868,293,395365
4,Brazil,"DEN 1,2,3,4",2018,Out,49,38.742147507,0.071768270,0.035,170584,156,49,208.81,210868,316,440306
4,Brazil,"DEN 1,2,3,4",2018,Out,50,38.548568863,0.070239860,0.035,173425,158,50,213.35,210868,316,449887
4,Brazil,"DEN 1,2,3,4",2018,Out,4,31.277109685,0.059738708,0.036,12042,14,4,18.26,210868,23,38501
4,Brazil,"DEN 1,2,3,4",2018,Out,11,35.451603647,0.062966269,0.033,44479,42,11,59.50,210868,79,125464
4,Brazil,"DEN 1,2,3,4",2018,Out,16,38.993746911,0.071025113,0.037,81254,77,16,98.82,210868,148,208377
4,Brazil,"DEN 1,2,3,4",2018,Out,18,39.927697998,0.069969680,0.037,95868,90,18,113.86,210868,168,240104
4,Brazil,"DEN 1,2,3,4",2018,Out,23,40.972457095,0.075345333,0.040,122354,118,23,141.62,210868,225,298625
4,Brazil,"DEN 1,2,3,4",2018,Out,29,40.778807009,0.077585698,0.040,138232,136,29,160.75,210868,263,338980
4,Brazil,"DEN 1,2,3,4",2018,Out,31,40.640766396,0.078303145,0.040,141692,138,31,165.34,210868,273,348645
4,Brazil,"DEN 1,2,3,4",2018,Out,36,40.223121976,0.077134599,0.039,148618,144,36,175.22,210868,285,369484
4,Brazil,"DEN 1,2,3,4",2018,Out,41,39.643748431,0.074304484,0.037,154724,146,41,185.09,210868,290,390286
4,Brazil,"DEN 1,2,3,4",2018,Out,43,39.374225527,0.074699205,0.037,157604,150,43,189.82,210868,299,400272
4,Brazil,"DEN 1,2,3,4",2018,Out,48,38.819761423,0.071327502,0.036,167628,154,48,204.78,210868,308,431811
4,Brazil,"DEN 1,2,3,4",2018,Out,5,32.187205360,0.068205982,0.046,16045,23,5,23.64,210868,34,49849
4,Brazil,"DEN 1,2,3,4",2018,Out,10,34.681955863,0.064906967,0.037,38472,41,10,52.61,210868,72,110928
4,Brazil,"DEN 1,2,3,4",2018,Out,12,36.094670327,0.066477955,0.036,50495,51,12,66.34,210868,93,139896
4,Brazil,"DEN 1,2,3,4",2018,Out,17,39.413661840,0.072017427,0.038,88112,85,17,106.02,210868,161,223557
4,Brazil,"DEN 1,2,3,4",2018,Out,22,40.892783221,0.075893473,0.039,118540,114,22,137.47,210868,220,289880
4,Brazil,"DEN 1,2,3,4",2018,Out,24,40.997420073,0.076779678,0.040,126015,122,24,145.77,210868,236,307373
4,Brazil,"DEN 1,2,3,4",2018,Out,40,39.761467985,0.075140435,0.038,153457,145,40,183.03,210868,290,385944
4,Brazil,"DEN 1,2,3,4",2018,Out,45,39.109699480,0.073202703,0.037,160814,153,45,195.00,210868,301,411187
4,Brazil,"DEN 1,2,3,4",2018,Out,47,38.935792282,0.071711475,0.036,165057,153,47,201.04,210868,304,423921
4,Brazil,"DEN 1,2,3,4",2018,Out,52,38.244442233,0.069864122,0.035,176814,160,52,219.25,210868,323,462326
4,Brazil,"DEN 1,2,3,4",2018,Out,3,30.648351253,0.061131288,0.043,8523,12,3,13.19,210868,17,27809
4,Brazil,"DEN 1,2,3,4",2018,Out,19,40.324988471,0.071125423,0.038,103186,96,19,121.35,210868,182,255886
4,Brazil,"DEN 1,2,3,4",2018,Out,21,40.784694924,0.073705350,0.039,114543,110,21,133.19,210868,207,280848
4,Brazil,"DEN 1,2,3,4",2018,Out,26,40.923232964,0.078092429,0.041,131533,133,26,152.42,210868,251,321414
4,Brazil,"DEN 1,2,3,4",2018,Out,28,40.865380288,0.078010844,0.041,136199,135,28,158.05,210868,260,333287
4,Brazil,"DEN 1,2,3,4",2018,Out,33,40.484312004,0.077167829,0.039,144797,138,33,169.61,210868,276,357662
4,Brazil,"DEN 1,2,3,4",2018,Out,38,40.004557112,0.076040187,0.038,150990,145,38,178.99,210868,287,377432
